,id,date_initialized,date_updated,user_id
820,43348,,,46353
821,43349,,,46354
822,44450,,,47518
823,43350,,,46355
824,45527,,,48667
825,43351,,,46356
826,46416,,,49580
827,43352,,,46357
828,44572,,,47641
829,43353,,,46358
830,45528,,,48668
831,45529,,,48669
832,44579,,,47648
833,46421,,,49584
834,46420,2017-03-30 16:39:42.242110+00:00,2017-04-11 23:03:25.331539+00:00,18652
835,43362,,,46369
836,45535,,,48676
837,46422,,,49585
838,44584,,,47653
839,41596,2017-03-14 15:08:16.817589+00:00,2017-03-24 05:05:37.993081+00:00,44000
840,45540,,,48681
841,46426,,,49589
842,45542,,,48683
843,41449,2017-03-14 01:07:21.545707+00:00,2018-01-09 18:07:07.147992+00:00,44301
844,43375,,,46382
845,45539,,,48680
846,44592,,,47661
847,46429,,,49592
848,46430,,,49593
849,43380,,,46388
850,43379,,,46387
851,44597,2017-03-24 12:45:28+00:00,2017-04-02 08:12:40.817783+00:00,47667
852,43301,,,44905
853,43383,,,46391
854,46376,,,49540
855,44600,,,47671
856,46432,,,49595
857,45547,2017-03-28 20:21:01.159886+00:00,2017-06-07 00:34:16.064078+00:00,48688
858,44602,,,47673
859,46435,,,49598
860,45549,,,48690
861,43387,,,46395
862,44603,,,47674
863,45550,,,48691
864,46437,,,49600
865,45394,,,48523
866,45552,,,48693
867,44605,,,47676
868,44604,,,47675
869,43360,,,46366
870,45556,,,48697
871,45557,,,48698
872,38015,2017-02-25 01:07:13+00:00,2019-03-04 19:08:07.372226+00:00,40350
873,43395,,,46403
874,45559,,,48700
875,43396,,,46404
876,46444,,,49607
877,46445,,,49608
878,43399,,,46407
879,45562,,,48703
880,38991,2017-03-07 02:03:43.027355+00:00,2017-09-11 19:42:23.715242+00:00,41560
881,36854,,,39083
882,36931,,,39160
883,37392,,,39642
884,40237,,,42999
885,41340,,,44185
886,41686,,,44554
887,42725,,,45664
888,44615,,,47688
889,44616,,,47689
890,35869,,,38062
891,43403,,,46411
892,45566,,,48706
893,44617,,,47690
894,46450,,,49614
895,45567,,,48707
896,45569,,,48709
897,43408,,,46416
898,45570,,,48710
899,46453,,,49617
900,43409,,,46417
901,45571,,,48711
902,43410,,,46419
903,46455,,,49619
904,45572,,,48712
905,46454,,,49618
906,44622,2017-03-24 18:28:12.173988+00:00,2017-05-20 16:20:00.393050+00:00,47695
907,45573,,,48714
908,44623,,,47696
909,43413,,,46418
910,45575,,,48716
911,46457,,,49621
912,45576,,,48717
913,46459,,,49624
914,44628,,,47703
915,45578,,,48719
916,45579,,,48720
917,43420,,,46428
918,46460,,,49623
919,43421,,,46429
920,45580,,,48721
921,45582,,,48722
922,32756,2017-01-11 17:46:02.386712+00:00,2018-01-17 21:28:16.160639+00:00,34883
923,44633,2017-03-24 20:51:56.672923+00:00,2017-04-15 22:02:04.550178+00:00,47711
924,45583,,,48723
925,44635,,,47714
926,44637,,,47716
927,44658,,,47741
928,43427,,,46436
929,46465,,,49629
930,43428,,,46437
931,45586,,,48726
932,44641,,,47720
933,46467,,,49632
934,44642,,,47721
935,43433,,,46442
936,44643,,,47722
937,43434,,,46443
938,46470,,,49635
939,43435,,,46444
940,44666,,,47750
941,44646,,,45780
942,44668,,,47751
943,44667,,,43237
944,44647,,,47725
945,43437,,,46446
946,43439,,,46448
947,45598,,,48738
948,46474,,,49639
949,45597,,,48737
950,44649,,,47728
951,45599,,,48739
952,44669,2017-03-25 02:48:45.610423+00:00,2017-04-13 19:26:36.043080+00:00,47752
953,46475,,,49640
954,44651,,,47730
955,43993,2017-03-23 21:55:15.403519+00:00,2017-05-22 20:31:16.202099+00:00,47025
956,43444,2017-03-24 02:52:35.825074+00:00,2017-09-07 07:40:01.645233+00:00,46453
957,44671,,,47755
958,44654,,,47736
959,43445,,,46454
960,46480,,,49645
961,46481,,,49646
962,43447,,,46456
963,43448,,,46457
964,46483,,,49648
965,43450,,,46459
966,46484,,,49649
967,45608,,,48748
968,45609,,,48749
969,46485,,,49650
970,43451,2017-03-25 04:30:47.151999+00:00,2017-07-18 04:08:17.969085+00:00,46460
971,44677,,,47763
972,46486,,,49651
973,43453,,,46461
974,46487,,,49652
975,45611,,,48751
976,43454,2017-03-21 17:45:15.094810+00:00,2017-03-29 15:21:45.366219+00:00,46462
977,46488,,,49653
978,45614,,,48754
979,46489,,,49654
980,43456,,,46465
981,45615,,,48755
982,46490,,,49655
983,46491,,,49656
984,43458,,,46466
985,45616,,,48756
986,46492,,,49657
987,43459,,,46467
988,44684,2017-03-25 05:53:18.921064+00:00,2017-04-25 15:30:22.312255+00:00,43998
989,46493,,,49658
990,44683,,,47769
991,46494,,,49659
992,45620,,,48760
993,40969,2017-03-14 15:23:26.613673+00:00,2017-07-18 18:31:39.234990+00:00,43793
994,44688,,,47774
995,43462,,,46470
996,43463,,,46471
997,45622,,,48762
998,45625,,,48765
999,45626,,,48766
1000,46501,,,49666
1001,43470,,,46478
1002,44695,,,47782
1003,37425,2017-02-14 17:41:52.693551+00:00,2017-05-17 01:09:43.267372+00:00,39681
1004,36595,2017-03-06 22:22:39.046370+00:00,2017-08-09 21:03:06.955761+00:00,38815
1005,44696,,,47783
1006,45631,,,48771
1007,43473,2017-03-21 18:21:28.557891+00:00,2017-03-28 18:40:29.676336+00:00,46482
1008,40529,2017-03-21 05:38:53.405996+00:00,2017-11-10 14:12:39.869928+00:00,43325
1009,45632,,,48772
1010,44700,,,47787
1011,46508,,,49673
1012,46509,,,49674
1013,44701,,,47788
1014,44702,,,47789
1015,46510,,,49675
1016,43478,,,46486
1017,46511,,,49676
1018,45636,,,48776
1019,46512,,,49677
1020,44703,,,47790
1021,43480,,,46488
1022,35217,2017-01-30 23:57:19.293037+00:00,2017-05-15 15:01:23.776074+00:00,37390
1023,44705,,,47792
1024,45640,,,48780
1025,43482,,,46490
1026,43484,,,46493
1027,45642,,,48782
1028,44709,2017-03-25 14:51:50.308236+00:00,2018-04-06 21:23:47.132700+00:00,42727
1029,43485,,,46494
1030,44711,2017-03-26 21:43:09+00:00,2017-07-08 17:39:05.900806+00:00,47798
1031,46520,2017-03-30 21:08:04.406564+00:00,2017-05-04 20:23:30.454946+00:00,49684
1032,46521,,,49685
1033,45646,,,48786
1034,44713,,,47800
1035,44714,,,47801
1036,43490,,,46500
1037,46524,,,49688
1038,46526,,,49690
1039,45653,,,48793
1040,46529,,,49695
1041,43496,2017-03-21 19:25:14.516064+00:00,2017-04-25 21:46:56.968119+00:00,46508
1042,46530,2017-03-30 21:32:48.449359+00:00,2017-05-02 16:24:48.450780+00:00,49696
1043,43497,,,46509
1044,46531,,,49697
1045,45656,,,48796
1046,43499,,,46512
1047,45657,,,48797
1048,45658,,,48798
1049,43501,,,46513
1050,45659,,,48799
1051,44721,2017-03-25 16:36:08.174329+00:00,2017-04-05 18:52:58.971040+00:00,47809
1052,45660,2017-03-29 00:34:38.649575+00:00,2017-03-29 00:43:34.848454+00:00,48800
1053,46535,,,49701
1054,43503,,,46515
1055,46536,,,49702
1056,44722,2017-03-25 16:37:09.256932+00:00,2017-04-10 22:48:45.480832+00:00,47712
1057,45661,,,48801
1058,43504,,,46516
1059,44723,,,47810
1060,45662,,,48802
1061,45663,,,48803
1062,46537,,,49703
1063,43505,,,46517
1064,44724,,,47811
1065,44725,2017-03-25 16:37:23.072235+00:00,2017-04-05 18:53:15.991683+00:00,47809
1066,45665,,,48805
1067,43764,,,46784
1068,44726,,,47812
1069,43507,,,46519
1070,46539,,,49705
1071,43509,,,46521
1072,46541,,,49707
1073,45667,,,48807
1074,40740,2017-03-09 16:35:12.075935+00:00,2017-05-29 17:46:49.235019+00:00,43553
1075,46542,,,49708
1076,43511,,,46523
1077,43512,,,46524
1078,46545,,,49711
1079,45670,2017-03-31 02:47:55.170425+00:00,2017-07-16 16:30:19.209361+00:00,48810
1080,43514,,,46526
1081,43515,,,46527
1082,46547,,,49713
1083,45674,,,48814
1084,46549,,,49716
1085,46548,,,49715
1086,37745,2017-02-16 21:56:44.670575+00:00,2017-03-05 06:16:29.151725+00:00,40038
1087,43519,,,46531
1088,43520,,,46532
1089,45678,,,48818
1090,44729,,,47815
1091,46553,,,49721
1092,44730,,,47816
1093,43780,,,46801
1094,44731,2017-03-25 18:12:10.949008+00:00,2017-04-12 13:13:16.453533+00:00,47818
1095,46554,,,49722
1096,45681,,,48821
1097,39046,2017-02-27 06:05:44.195315+00:00,2017-05-02 00:42:54.602690+00:00,41655
1098,43525,,,46537
1099,44732,,,47819
1100,46556,,,49717
1101,37752,2017-02-16 23:08:02.657510+00:00,2017-05-12 20:18:30.620021+00:00,40045
1102,45684,,,48824
1103,46558,,,49726
1104,44276,,,47327
1105,46560,,,49728
1106,43529,,,46541
1107,46561,,,49729
1108,43787,,,46808
1109,44735,2017-03-25 18:29:53.437275+00:00,2017-04-10 16:45:36.310557+00:00,47822
1110,45687,,,48827
1111,45689,,,48830
1112,44737,,,47484
1113,46563,,,49731
1114,45690,,,48829
1115,46565,,,49733
1116,43792,,,46815
1117,43793,,,46816
1118,43536,,,46549
1119,45691,,,48832
1120,46566,,,49734
1121,44741,2017-03-25 20:21:56.709684+00:00,2017-06-23 06:09:14.400121+00:00,47829
1122,43538,,,46552
1123,46567,,,49735
1124,45693,,,48834
1125,43795,,,46818
1126,43539,,,46553
1127,43540,,,46551
1128,46568,,,49736
1129,43541,,,46554
1130,43797,,,46820
1131,45229,2017-03-28 01:17:14.778235+00:00,2017-04-18 21:50:16.081799+00:00,48360
1132,45695,,,48836
1133,43542,,,46555
1134,44744,,,47832
1135,45697,2017-03-29 01:46:56.818230+00:00,2017-05-22 23:37:19.686929+00:00,39441
1136,44746,,,47834
1137,43799,,,46823
1138,43800,,,46824
1139,45698,,,48838
1140,38000,2017-02-18 23:54:54.789333+00:00,2017-03-03 14:14:45.423785+00:00,40335
1141,46573,,,49741
1142,45699,,,48839
1143,43801,,,46825
