,id,date_cancelled,date_resumed
252,6875,2017-02-03 01:29:55.327600+00:00,
253,6876,2017-02-03 03:14:12.841415+00:00,
254,6878,2017-02-03 06:37:32.022507+00:00,
255,6879,2017-02-03 06:52:49.943867+00:00,
256,6880,2017-02-03 06:53:07.439459+00:00,
257,6884,2017-02-03 18:20:51.516704+00:00,
258,6885,2017-02-03 18:29:14.810479+00:00,
259,6886,2017-02-03 18:32:27.484356+00:00,
260,6888,2017-02-03 18:35:43.238389+00:00,
261,6893,2017-02-03 19:27:03.103270+00:00,
262,6894,2017-02-03 19:27:13.068216+00:00,
263,6895,2017-02-03 19:29:04.670745+00:00,
264,6734,2017-01-29 19:28:45.538687+00:00,2017-02-03 19:53:41.972913+00:00
265,6896,2017-02-03 20:05:00.654364+00:00,
266,6903,2017-02-04 00:20:36.985008+00:00,
267,6905,2017-02-04 01:06:36.484761+00:00,
268,6906,2017-02-04 01:46:09.943563+00:00,
269,6907,2017-02-04 02:59:23.875689+00:00,
270,6910,2017-02-04 03:50:54.420251+00:00,
271,6918,2017-02-04 17:24:22.753468+00:00,
272,6924,2017-02-04 19:06:59.037041+00:00,
273,6908,2017-02-04 03:00:55.684204+00:00,2017-02-08 00:05:29.232117+00:00
274,6869,2017-02-02 21:54:58.175613+00:00,2017-04-24 16:40:50.642744+00:00
275,6872,2017-02-03 00:09:51.090781+00:00,2017-06-08 22:10:56.203567+00:00
276,6935,2017-02-04 22:52:48.895524+00:00,
277,6902,2017-02-03 23:07:19.655043+00:00,2017-02-05 02:01:11.206849+00:00
278,6760,2017-01-30 20:02:58.934283+00:00,2017-02-05 07:02:21.806848+00:00
279,6942,2017-02-05 14:36:43.331798+00:00,
280,6944,2017-02-05 16:31:27.571700+00:00,
281,6945,2017-02-05 16:42:09.953086+00:00,
282,6948,2017-02-05 21:50:41.828857+00:00,
283,6950,2017-02-05 23:01:37.472752+00:00,
284,6951,2017-02-05 23:47:26.856677+00:00,
285,6953,2017-02-06 00:53:16.938731+00:00,
286,6957,2017-02-06 03:44:05.406372+00:00,
287,6958,2017-02-06 04:38:50.374287+00:00,
288,6962,2017-02-06 07:32:33.404772+00:00,
289,6964,2017-02-06 14:28:52.705177+00:00,
290,6970,2017-02-06 16:40:01.251590+00:00,
291,6972,2017-02-06 16:52:12.527207+00:00,
292,6974,2017-02-06 17:16:36.606490+00:00,
293,6975,2017-02-06 17:47:07.867682+00:00,
294,6978,2017-02-06 18:15:36.946008+00:00,
295,6982,2017-02-06 19:28:54.679551+00:00,
296,6983,2017-02-06 19:53:26.001571+00:00,
297,6986,2017-02-06 20:23:05.219342+00:00,
298,6991,2017-02-06 22:30:26.648419+00:00,
299,6992,2017-02-06 22:31:10.406308+00:00,
300,6997,2017-02-06 23:24:10.816170+00:00,
301,6998,2017-02-06 23:24:53.408633+00:00,
302,6967,2017-02-06 15:45:58.825809+00:00,2017-02-08 18:45:52.592609+00:00
303,6989,2017-02-06 21:31:58.483897+00:00,2017-02-13 19:35:54.802047+00:00
304,6938,2017-02-05 01:01:45.587007+00:00,2017-02-20 00:25:32.192701+00:00
305,6968,2017-02-06 16:15:20.775521+00:00,2017-03-01 20:24:46.006540+00:00
306,6980,2017-02-06 19:07:34.086847+00:00,2017-04-27 22:52:53.213977+00:00
307,6990,2017-02-06 22:12:59.271222+00:00,2017-05-29 23:03:18.787387+00:00
308,6949,2017-02-05 22:29:11.277183+00:00,2017-06-13 02:58:08.492620+00:00
309,6981,2017-02-06 19:11:35.901191+00:00,2017-07-03 15:37:13.871836+00:00
310,6977,2017-02-06 18:06:36.760996+00:00,2018-01-04 18:37:10.424922+00:00
311,6956,2017-02-06 03:39:37.811448+00:00,2018-01-05 14:47:10.000219+00:00
312,7004,2017-02-07 01:00:25.024353+00:00,
313,7005,2017-02-07 01:46:47.239272+00:00,
